id,name,code,pinyin
0,北京北,VAP,beijingbei
1,北京东,BOP,beijingdong
2,北京,BJP,beijing
3,北京南,VNP,beijingnan
4,北京西,BXP,beijingxi
5,广州南,IZQ,guangzhounan
6,重庆北,CUW,chongqingbei
7,重庆,CQW,chongqing
8,重庆南,CRW,chongqingnan
9,重庆西,CXW,chongqingxi
10,广州东,GGQ,guangzhoudong
11,上海,SHH,shanghai
12,上海南,SNH,shanghainan
13,上海虹桥,AOH,shanghaihongqiao
14,上海西,SXH,shanghaixi
15,天津北,TBP,tianjinbei
16,天津,TJP,tianjin
17,天津南,TIP,tianjinnan
18,天津西,TXP,tianjinxi
19,长春,CCT,changchun
20,长春南,CET,changchunnan
21,长春西,CRT,changchunxi
22,成都东,ICW,chengdudong
23,成都南,CNW,chengdunan
24,成都,CDW,chengdu
25,长沙,CSQ,changsha
26,长沙南,CWQ,changshanan
27,大明湖,JAK,daminghu
28,福州,FZS,fuzhou
29,福州南,FYS,fuzhounan
30,贵阳,GIW,guiyang
31,广州,GZQ,guangzhou
32,广州西,GXQ,guangzhouxi
33,哈尔滨,HBB,haerbin
34,哈尔滨东,VBB,haerbindong
35,哈尔滨西,VAB,haerbinxi
36,合肥,HFH,hefei
37,合肥西,HTH,hefeixi
38,呼和浩特东,NDC,huhehaotedong
39,呼和浩特,HHC,huhehaote
40,海  口东,KEQ,haikoudong
41,海口东,HMQ,haikoudong
42,海口,VUQ,haikou
43,杭州东,HGH,hangzhoudong
44,杭州,HZH,hangzhou
45,杭州南,XHH,hangzhounan
46,济南,JNK,jinan
47,济南西,JGK,jinanxi
48,昆明,KMM,kunming
49,昆明西,KXM,kunmingxi
50,拉萨,LSO,lasa
51,兰州东,LVJ,lanzhoudong
52,兰州,LZJ,lanzhou
53,兰州西,LAJ,lanzhouxi
54,南昌,NCG,nanchang
55,南京,NJH,nanjing
56,南京南,NKH,nanjingnan
57,南宁,NNZ,nanning
58,石家庄北,VVP,shijiazhuangbei
59,石家庄,SJP,shijiazhuang
60,沈阳,SYT,shenyang
61,沈阳北,SBT,shenyangbei
62,沈阳东,SDT,shenyangdong
63,沈阳南,SOT,shenyangnan
64,太原北,TBV,taiyuanbei
65,太原东,TDV,taiyuandong
66,太原,TYV,taiyuan
67,武汉,WHN,wuhan
68,王家营西,KNM,wangjiayingxi
69,乌鲁木齐南,WMR,wulumuqinan
70,西安北,EAY,xianbei
71,西安,XAY,xian
72,西安南,CAY,xiannan
73,西宁,XNO,xining
74,银川,YIJ,yinchuan
75,郑州,ZZF,zhengzhou
76,阿尔山,ART,aershan
77,安康,AKY,ankang
78,阿克苏,ASR,akesu
79,阿里河,AHX,alihe
80,阿拉山口,AKR,alashankou
81,安平,APT,anping
82,安庆,AQH,anqing
83,安顺,ASW,anshun
84,鞍山,AST,anshan
85,安阳,AYF,anyang
86,北安,BAB,beian
87,蚌埠,BBH,bengbu
88,白城,BCT,baicheng
89,北海,BHZ,beihai
90,白河,BEL,baihe
91,白涧,BAP,baijian
92,宝鸡,BJY,baoji
93,滨江,BJB,binjiang
94,博克图,BKX,boketu
95,百色,BIZ,baise
96,白山市,HJL,baishanshi
97,北台,BTT,beitai
98,包头东,BDC,baotoudong
99,包头,BTC,baotou
100,北屯市,BXR,beitunshi
101,本溪,BXT,benxi
102,白云鄂博,BEC,baiyunebo
103,白银西,BXJ,baiyinxi
104,亳州,BZH,bozhou
105,赤壁,CBN,chibi
106,常德,VGQ,changde
107,承德,CDP,chengde
108,长甸,CDT,changdian
109,赤峰,CFD,chifeng
110,茶陵,CDG,chaling
111,苍南,CEH,cangnan
112,昌平,CPP,changping
113,崇仁,CRG,chongren
114,昌图,CTT,changtu
115,长汀镇,CDB,changtingzhen
116,曹县,CXK,caoxian
117,楚雄南,COM,chuxiongnan
118,陈相屯,CXT,chenxiangtun
119,长治北,CBF,changzhibei
120,池州,IYH,chizhou
121,长征,CZJ,changzheng
122,常州,CZH,changzhou
123,郴州,CZQ,chenzhou
124,长治,CZF,changzhi
125,沧州,COP,cangzhou
126,崇左,CZZ,chongzuo
127,大安北,RNT,daanbei
128,大成,DCT,dacheng
129,丹东,DUT,dandong
130,东方红,DFB,dongfanghong
131,东莞东,DMQ,dongguandong
132,大虎山,DHD,dahushan
133,敦煌,DHJ,dunhuang
134,敦化,DHL,dunhua
135,德惠,DHT,dehui
136,东京城,DJB,dongjingcheng
137,大涧,DFP,dajian
138,都江堰,DDW,dujiangyan
139,大连北,DFT,dalianbei
140,大理,DKM,dali
141,大连,DLT,dalian
142,定南,DNG,dingnan
143,大庆,DZX,daqing
144,东胜,DOC,dongsheng
145,大石桥,DQT,dashiqiao
146,大同,DTV,datong
147,东营,DPK,dongying
148,大杨树,DUX,dayangshu
149,都匀,RYW,duyun
150,邓州,DOF,dengzhou
151,达州,RXW,dazhou
152,德州,DZP,dezhou
153,额济纳,EJC,ejina
154,二连,RLC,erlian
155,恩施,ESN,enshi
156,福鼎,FES,fuding
157,凤凰机场,FJQ,fenghuangjichang
158,风陵渡,FLV,fenglingdu
159,涪陵,FLW,fuling
160,富拉尔基,FRX,fulaerji
161,抚顺北,FET,fushunbei
162,佛山,FSQ,foshan
163,阜新南,FXD,fuxinnan
164,阜阳,FYH,fuyang
165,格尔木,GRO,geermu
166,广汉,GHW,guanghan
167,古交,GJV,gujiao
168,桂林北,GBZ,guilinbei
169,古莲,GRX,gulian
170,桂林,GLZ,guilin
171,固始,GXN,gushi
172,广水,GSN,guangshui
